subject,Question,Option A,Option B,Option C,Option D,Answer,Year,Explaination
Literature In English,B  2. C  3. D  4. A  5. B  6. B  7. D  8. C  9. A  10. C  11. C  12. B  13. B  14. A  15. D  16. D  17. C  18. A  19. C  20. A  21. B  22. A  23. A  24. D  25. A  26. A  27. C  28. D  29. D  30. A  31. B  32. C  33. A  34. A  35. B  36. C  37. A  38. B  39. D  40. D  41. D  42. A  43. B  44. A  45. A  46. D  47. A  48. C  49. A  50. B  Download MySchoolGist JAMB CBT Software from   https://www.myschoolgist.com/cbt/ www.myschoolgist.com 24    UTME 2013 LITERATURE-IN-ENGLISH QUESTIONS    1. Which Question Paper Type of  Literature-in- English is given to you?,Type B,Type I,Type B,"Type U 
 
Questions 2 to 5 are based on J.C. De 
Graft's Sons and Daughters. 
Use the excerpt below to answer 
questions 2 and 3. 
James: Let me swear, woman. And I will 
swear by my father's coffin that if....",B,2012,
Literature In English,The lines depict James as a,traditionalist,Christian,pagan,Muslim,C,2012,
Literature In English,The speaker is referring to,Fosuwa,Awere,Maanan,Hannah,A,2012,
Literature In English,"Aaron' . All I need really is a place in an Art  school, engineering can go hang  itself. The dominant figure of  speech in the excerpt above is",metonymy,synecdoche,personification,metaphor,A,2012,
Literature In English,"From the play, the character of Aaron  represents the",painters,art work,new generation,old generation,B,2012,
Literature In English,"'Uncle, this is a Montague, our foe; A villain  that is hither come in spite, To scorn at our  solemnity this night.'  The villain in the excerpt above is",attempting to steal,attending a feast uninvited,engaging in a shouty match,holding a sword to commit murder,C,2012,
Literature In English,"""What, drawn and talk of peace? I  hate the word As I hate hell, all  Montagues,  and  thee  Have  at  thee,coward!""    Based on William Shakespeare's Romeo and  Juliet, the lines above reveal the speaker as a",violence seeker,peace maker,real Montague,trouble shooter,A,2012,
Literature In English,"Romeo’s mood, at the beginning of the play  can be described as",melancholic and sentimental,dreamy and hopeful,frustrated and pensive,gay and elated,B,2012,
Literature In English,"""O'deadly sin! O rude unthankfulness!  Thy fault our law calls death, but the kind  Prince, taking thy part, hath rushed aside  the law, And turned that black word  ""death"" to banishment.""    The speaker in the passage above is",Lord Montague,Friar Lawrence,Apothecary,Lord Capulet,D,2012,
Literature In English,""" .. Put up thy sword  Or manage it to part these men with me.""  The speech above was made when",Tybalt challenges Romeo to duel,"Prince Escalus arrives to make peace 
between the families",Romeo and Paris engaged themselves in a fight,"Benvolio tries to separate the servants of 
the feuding families 
 
Questions 11 to 13 are based on 
Ferdinand Oyono's the Old Man and 
the Medal",D,2012,
Literature In English,"For his sacrifices to the church, Meka gets",appointed into the church elders' council,"the privilegde to choose a permanent 
place to sit 
Download MySchoolGist JAMB CBT Software from 
 https://www.myschoolgist.com/cbt/
www.myschoolgist.com
25",a place near an aged leper,a land to build a new house,A,2012,
Literature In English,"""Since I came to this country, I have  never seen cocoa as well dried as  yours.""    The speaker above is",Nkolo,the Commandant,the Catechist,Nua,B,2012,
Literature In English,"To the white men, the medal that is  given symbolizes",harmonious relationship,love,peace,"friendship 
 
Questions 14 to 16 are based on Buchi 
Emecheta’s The Joy of Motherhood.",B,2012,
Literature In English,Nnu Ego is blamed for the misfortunes of her,parents,husband,siblings,children,B,2012,
Literature In English,According to the novel Nnaife becomes  frustrated when,Oshiaju secures a scholarship to study abroad,"he is arrested and charged for 
attempted murder of his in-law",his wife gives birth to female twins,he is recruited into the army,C,2012,
Literature In English,Adaku remains faithful to Nnaife until she,starts keeping unnecesary friends,is unable to give birth to a male child,is rebuked by the Ibuza society for abusing Nnu Ego,"becomes rich and powerful 
 
Questions 17 to 20 are based on George 
Orwell’s Nineteen Eighty-four",A,2012,
Literature In English,The Ministry of Love is concerned with,peace and freedom,torture and pain,joy and peace,hatred and pain,A,2012,
Literature In English,The instruments of power and torture belong to,the government,the party,the thought police,individuals,A,2012,
Literature In English,The action in the novel is built around,Winston Smith,O'Brien,Julia,Big Brother,D,2012,
Literature In English,Winston Smith works in the Record  Department of the Ministry of,love,truth,peace,"plenty 
 
Questions 21 and 30 are based on 
selected poems from Johnson, R. et al 
(eds.): New Poetry from Africa; Soyinka, 
W. (ed.): Poems of Black Africa; Senanu, 
K.E. and Vincent, T. (eds): A Selection of 
African Poetry; Umukoro M. et al: Exam 
Focus: Literature in English; Eruvbetine, 
A.E. et al (eds.): Longman Examination 
Guides: Poetry for Senior Secondary 
Schools NWOGA, D.I. (ed.) West African 
Verse",A,2012,
Literature In English,The dominant poetic technique  employed in Adeoti's Naked Soles is,zeugma,oxymoron,hyperbole,onomatopoeia,C,2012,
Literature In English,Rubadiri's An African Thunderstorm  can be described as,didactic,dramatic,traditional,satirical,B,2012,
Literature In English,"'Since it was you who in all these thin  seasons."" The device employed in the line  above from Kunene's The Heritage of  Liberation, is an example of",apostrophe,allusion,anecdote,aside,A,2012,
Literature In English,"""Let me ask for what reason or  rhyme women refuse to marry?  Download MySchoolGist JAMB CBT Software from   https://www.myschoolgist.com/cbt/ www.myschoolgist.com 26    Woman cannot exist except by man,  what is there in that to vex some of them  so? The lines above from Give Me The  Minstrel's Seat is an example of",pathetic fallacy,chiasmus,ironical statement,rhetorical question,A,2012,
Literature In English,‘Time winged chariot’  The line above from Marvell's To His Coy  Mistress  depicts,how fast time flies,the usefulness of time,the measurement of time,how fast events unfold,B,2012,
Literature In English,Lawrence's Bat opens with the description of  the,scene,creatures,bats,scenery,A,2012,
Literature In English,The theme of Eliot's The Journey of Magi is,quest for salvation,escape from persecution,nature,journey,A,2012,
Literature In English,Acquah's In The Navel of the Soul describes  the,lack of experienced midwives in the society,"excesses of the new generation churches 
and politicians",complications of motherhood and child bearing,conflict between the church and tradition,B,2012,
Literature In English,"""Listen...they will tell you...  to beat drums is mere children's  play, the adult's is to start  echoes...  The lines above from Launkos' End of the  War, enhance the -----",rhyme of the poem,rhythm of the poem,language of the poem,use of imagery,C,2012,
Literature In English,The language OF Cope’s Sonnet VII past  event in a literary work is,complicated,simple,poetic complicated,"difficult 
Download MySchoolGist JAMB CBT Software from 
 https://www.myschoolgist.com/cbt/
www.myschoolgist.com
27 
 
 
Question 31 to 40 are based on 
General literacy Principles",A,2012,
Literature In English,A device used by a writer to recall past  event in a literary work is,interlude,anti-climax,flashback,foreshadowing,A,2012,
Literature In English,A paragraph in prose is equivalent to a,trope in poetry,verse in poetry,stanza in poetry,meter in poetry,B,2012,
Literature In English,A fable is a brief narrative illustrating wisdom  and,urgency,origin,custom,truth,C,2012,
Literature In English,A device used in poetry to achieve  emphasis or stress a point is known as,rhyme,assonance,repetition,alliteration,D,2012,
Literature In English,A literary work that ridicules the  shortcomings of people or ideas is,a masque,a satire,an irony,a fable,D,2012,
Literature In English,The figure of speech in which the writer  means the exact opposite of what he  intends to say is,satire,irony,paradox,metaphor,B,2012,
Literature In English,Action without speech in a play is,soliloquy,aside,epilogue,mime,A,2012,
Literature In English,A literary work that teaches moral is said to be,impressive Download MySchoolGist JAMB CBT Software from  https://www.myschoolgist.com/cbt/www.myschoolgist.com28,"didactic 
Use the quotation below to answer questions 44",instructive and 45.,"corrective 
Will no one tell me what she sings",C,2012,
Literature In English,"A mistake committed by the hero which leads to  perhaps the plaintive numbers flow  his downfall is known as  for old, unhappy, far off things",comic relief And battles long ago.,"terse 
Or is it some more humble lay,",climax Familiar matter of today?,tragic flaw,A,2012,
Literature In English,The lines above show that the persona,does not understand the girl's language 40. The speech made by a character to himself on,"is so much in love with the girl 
stage is",so hates the words of the girl A. monologue,"understands the girl's songs 
B. epilogue 
C. aside",C,2012,
Literature In English,The line end in a literary device known as  D. soliloquy,transferred epithet,"rhetorical question 
Question is based on Literary Appreciation.",Irony,conceit,C,2012,
Literature In English,"""Women as a clam, on the sea's crescent  I saw your jealous eye quench the sea's  46. Oh incomprehensible God!  Fluorescence, dance on the pulse  Shall my pilot be  incessant. Wole Soyinka: Night  My inborn stars to that  The lines above suggest that women are  Final call to thee...",magicians,"covetous 
The literary device used in the first line is",dogmatic A. passion,"seers 
B. apostrophe 
C. burlesque 
Use the quotation below to answer question 
42 
D. rhetoric 
and 43. 
""Busy old fool",B,2012,
Literature In English,"""Busy old fool, unruly sun,  Unruly sun  Why dost thou thus.""  Why dost thou thus  J. Donne:The Sun Rising  Through windows  From the lines above, the poet sees the  sun as  And through curtains","a necessary evil Call on us?""","a light provider 
J. Donne: The Sun Rising",illumination after darkness 42. The excerpts above suggests,"an unnecessary evil 
A. praise of nature 
B. invitation to the sun 
Use the quotation below to answer questions 48 
C. welcoming the sun 
and 49. 
D. indictment of the sun 
The body perishes, the heart stays young.",D,2012,
